
name,brand,type,gender,age,budget,category,use_time,skin_types,skin_concerns,ingredients,texture,fragrance_free,alcohol_free,instructions,price,purchase_link,image_url
basis sensitiv Maschera Antirughe Q10,Lavera,mask,unisex,adult,midRange,mask,"[""night"", ""weekly"", ""as_needed""]","[""sensitive"", ""dry"", ""normal""]","[""dehydration"", ""dryness"", ""redness""]","[""aloe_vera"", ""almond_oil"", ""shea_butter""]",mask,False,False,Apply to face weekly for anti-aging benefits.,0,https://www.lavera.it/basis-sensitiv-maschera-antirughe-q10,
Maschera in tessuto rassodante,Lavera,mask,unisex,adult,midRange,mask,"[""night"", ""weekly"", ""as_needed""]","[""mature"", ""dry"", ""normal""]","[""dullness"", ""fine_lines"", ""premature_ageing""]","[""hyaluronic_acid"", ""bakuchiol"", ""ceramides""]",mask,False,False,Apply sheet mask to face and leave for 15 minutes.,0,https://www.lavera.it/maschera-in-tessuto-rassodante,
Maschera in tessuto illuminante,Lavera,mask,unisex,adult,midRange,mask,"[""night"", ""weekly"", ""as_needed""]","[""normal"", ""dry"", ""combination""]","[""dullness""]",[],mask,False,False,Apply sheet mask to brighten skin tone.,0,https://www.lavera.it/maschera-in-tessuto-illuminante,
Maschera in tessuto purificante,Lavera,mask,unisex,adult,midRange,mask,"[""night"", ""weekly"", ""as_needed""]","[""combination"", ""oily""]","[""acne"", ""blackheads"", ""impurities"", ""oiliness"", ""pores""]","[""mint"", ""salicylic_acid""]",mask,False,False,Apply purifying sheet mask weekly.,0,https://www.lavera.it/maschera-in-tessuto-purificante,
basis sensitive balsamo per le labbra,Lavera,lipCare,unisex,adult,midRange,lipCare,"[""morning"", ""night""]","[""sensitive"", ""dry"", ""normal""]","[""dehydration"", ""dryness"", ""redness""]","[""aloe_vera"", ""almond_oil"", ""shea_butter""]",cream,False,False,Apply lip balm as needed.,0,https://www.lavera.it/basis-sensitive-balsamo-per-le-labbra,
Repair balsamo per le labbra,Lavera,lipCare,unisex,adult,midRange,lipCare,"[""morning"", ""night""]","[""normal""]",[],[],cream,False,False,Apply repair lip balm whenever lips are dry.,0,https://www.lavera.it/repair-balsamo-per-le-labbra,
Crema da Giorno Rassodante,Lavera,moisturizer,unisex,adult,midRange,moisturizer,"[""morning"", ""daytime""]","[""mature"", ""dry"", ""normal""]","[""dullness"", ""fine_lines"", ""premature_ageing""]","[""hyaluronic_acid"", ""bakuchiol"", ""ceramides""]",cream,False,False,Apply in the morning after cleansing.,0,https://www.lavera.it/crema-da-giorno-rassodante,
PURE BEAUTY Detergente Peeling Maschera 3in1,Lavera,cleanser,unisex,adult,midRange,cleanser,"[""morning"", ""night""]","[""combination"", ""oily""]","[""acne"", ""blackheads"", ""impurities"", ""oiliness"", ""pores""]","[""mint"", ""salicylic_acid""]",mask,False,False,"Use as cleanser, scrub or mask depending on need.",0,https://www.lavera.it/pure-beauty-3in1-wash-scrub-mask,
Lozione Solare Sensitive SPF 30,Lavera,sunscreen,unisex,adult,midRange,sunscreen,"[""morning"", ""daytime""]","[""oily"", ""combination"", ""dry"", ""normal"", ""sensitive"", ""mature""]","[""hyperpigmentation"", ""sun_damage""]","[""zinc_oxide_or_filters""]",liquid,False,False,Apply generously before sun exposure.,0,https://www.lavera.it/lozione-solare-sensitive-spf-30,
MY AGE Trattamento giorno rassodante,Lavera,moisturizer,unisex,adult,midRange,moisturizer,"[""morning"", ""daytime""]","[""mature"", ""dry"", ""normal""]","[""dullness"", ""fine_lines"", ""premature_ageing""]","[""hyaluronic_acid"", ""bakuchiol"", ""ceramides""]",cream,False,False,Apply to cleansed face each morning.,0,https://www.lavera.it/my-age-trattamento-giorno-rassodante,
