name,brand,type,gender,age,budget,category,use_time,skin_types,skin_concerns,texture,fragrance_free,alcohol_free,ingredients,price,purchase_link,image_url,instructions
basis sensitiv Maschera Antirughe Q10,Lavera,faceMask,unisex,young;mature,midRange,treatment,morning;night,sensitive;dry;normal,fine_lines;dryness,mask,false,false,Aleo_vera_bio:Soothing;Coenzima_Q10:Anti-aging,2.65,https://www.lavera.it/basis-sensitiv-maschera-antirughe-q10-4021457638512,,Apply to face weekly for anti-aging benefits.
Maschera in tessuto rassodante,Lavera,sheetMask,unisex,mature,midRange,treatment,morning;night,mature;dry;normal,fine_lines;wrinkles,mask,false,false,Karanja_oil:Nourishing;Natural_hyaluronic_acid:Hydration,5.66,https://www.lavera.it/maschera-in-tessuto-rassodante-4021457632053,,Apply sheet mask to face and leave for 15 minutes.
Maschera in tessuto illuminante,Lavera,sheetMask,unisex,young;mature,midRange,treatment,morning;night,normal;dry;combination,dullness,mask,false,false,Organic_dragon_fruit:Antioxidant;Organic_raspberry:Vitamin C,5.66,https://www.lavera.it/maschera-in-tessuto-illuminante-4021457632046,,Apply sheet mask for natural glow in just 15 minutes!
Maschera in tessuto purificante,Lavera,sheetMask,unisex,young,midRange,treatment,morning;night,combination;oily,acne;oiliness,mask,false,false,organic_mint:Refreshing;natural_salicylic_acid:Exfoliating,5.66,https://www.lavera.it/maschera-in-tessuto-purificante-4021457632039,,Apply purifying sheet mask weekly.
basis sensitive balsamo per le labbra,Lavera,lipBalm,unisex,young,midRange,optional,morning;night,sensitive;dry;normal,dryness,balm,false,false,Organic_almond:Nourishing;jojoba:Moisturizing,1.79,https://www.lavera.it/basis-sensitive-balsamo-per-le-labbra-4021457655984,,Apply to lips several times a day as needed.
Repair balsamo per le labbra,Lavera,lipBalm,unisex,young,midRange,optional,morning;night,normal,dryness,balm,false,false,Organic_pomegranate:Antioxidant;Organic_argan_oil:Nourishing,2.69,https://www.lavera.it/repair-balsamo-per-le-labbra-4021457656004,,Apply repair lip balm whenever lips are dry.
Crema da Giorno Rassodante,Lavera,moisturizer,unisex,mature,midRange,core,morning,mature;dry;normal,fine_lines;wrinkles,cream,false,false,Natural_hyaluronic_acid:Hydration;Bakuchiol:Anti-aging,20.69,https://www.lavera.it/crema-da-giorno-rassodante-4021457649198,,Apply in the morning after cleansing.
PURE BEAUTY Detergente Peeling Maschera 3in1,Lavera,exfoliant,unisex,young,midRange,treatment,morning;night,combination;oily,acne;oiliness,cream,false,false,organic_mint:Refreshing;natural_salicylic_acid:Exfoliating,6.74,https://www.lavera.it/pure-beauty-detergente-peeling-maschera-3in1-4021457639601,,"Use as cleanser, scrub or mask depending on need."
Lozione Solare Sensitive SPF 30,Lavera,sunscreen,unisex,young;mature,midRange,core,morning,oily;combination;dry;normal;sensitive;mature,sun_damage,lotion,false,false,Organic_shea_butter:Moisturizing;Vitamin_E:Antioxidant,15.99,https://www.lavera.it/lozione-solare-sensitive-spf-30-4021457657049,,Apply generously before and during sun exposure.
MY AGE Trattamento giorno rassodante,Lavera,moisturizer,unisex,mature,midRange,core,morning,mature;dry;normal,fine_lines;wrinkles,cream,false,false,Organic_hibiscus:Antioxidant;Plant_ceramide:Barrier Support,16.79,https://www.lavera.it/my-age-trattamento-giorno-rassodante-data-di-scadenza-01.12.2025-4021457635511,,Apply to cleansed face each morning.
Balsamo per le labbra delicato,Lavera,lipBalm,unisex,young,midRange,optional,morning;night,normal,dryness,balm,false,false,Organic_almond:Nourishing;Organic_mallow:Soothing,2.99,https://www.lavera.it/balsamo-per-le-labbra-delicato-4021457656028,,Apply to lips several times a day as needed.
basis sensitiv Crema Idratante Antirughe Q10,Lavera,moisturizer,unisex,young;mature,midRange,core,morning,sensitive;dry;normal,fine_lines;dehydration,cream,false,false,Aleo_vera_bio:Soothing;Coenzima_Q10:Anti-aging,14.53,https://www.lavera.it/basis-sensitiv-crema-idratante-antirughe-q10-4021457638321,,"Apply the product in the morning to previously cleansed skin on the face, neck and décolleté, massaging gently with circular movements."
Glow by Nature Liquid Illuminating Refiner,Lavera,serum,unisex,young;mature,midRange,treatment,morning;night,normal;dry;combination,dullness,lotion,false,false,plant_glycerin:Hydration,11.29,https://www.lavera.it/glow-by-nature-liquid-illuminating-refiner-4021457664344,,Apply to face before moisturizer for a glow.
Neutral Ultra Sensitive Fluido per il viso,Lavera,moisturizer,unisex,young,midRange,core,morning;night,sensitive;dry,redness;dryness,lotion,false,false,Organic_evening_primrose:Soothing,16.49,https://www.lavera.it/neutral-ultra-sensitive-fluido-per-il-viso-4021457637782,,Apply gently to face morning and evening.
basis sensitiv Crema Contorno Occhi Antirughe,Lavera,eyeCream,unisex,young;mature,midRange,special,morning;night,sensitive;dry;normal,fine_lines;dark_circles,cream,false,false,Organic_mallow:Soothing;Coenzima_Q10:Anti-aging,12.19,https://www.lavera.it/basis-sensitive-crema-contorno-occhi-antirughe-q10-4021457663965,,Pat around eye area morning and night.
LOZIONE SOLARE SENSITIVE KIDS SPF 50,Lavera,sunscreen,unisex,kids,midRange,core,morning,oily;combination;dry;normal;sensitive;mature,sun_damage,lotion,false,false,Organic_shea_butter:Moisturizing;Vitamin_E:Antioxidant,18.23,https://www.lavera.it/lozione-solare-sensitive-kids-spf-50-4021457657056,,Apply generously to children's skin before sun exposure.
Crema Da Notte Rassodante,Lavera,nightCream,unisex,mature,midRange,core,night,sensitive,fine_lines;wrinkles,cream,false,false,hyaluronic_acid:Hydration;bakuchiol:Anti-aging,21.99,https://www.lavera.it/crema-da-notte-rassodante-4021457649228,,Apply at night to clean skin for firming effect.
basis sensitiv Crema da Notte Antirughe Q10,Lavera,nightCream,unisex,young;mature,midRange,core,night,sensitive;dry;normal,fine_lines;wrinkles,cream,false,false,Jojoba:Moisturizing;Coenzima_Q10:Anti-aging,15.67,https://www.lavera.it/basis-sensitiv-crema-da-notte-antirughe-q10-4021457638352,,Use nightly to nourish and reduce wrinkles.
basis sensitiv Schiuma detergente,Lavera,cleanser,unisex,young,midRange,core,morning;night,sensitive;dry;normal,sensitivity,foam,true,false,aloe_vera:Soothing;almond_oil:Nourishing,8.54,https://www.lavera.it/basis-sensitiv-schiuma-detergente-4021457649938,,Gently foam and cleanse the face morning and night.
Glow by Nature Siero,Lavera,vitaminC,unisex,young;mature,midRange,treatment,morning,normal;dry;combination,dullness,gel,false,false,Vitamin_C:Brightening;Coenzyme_Q10:Antioxidant,20.23,https://www.lavera.it/glow-by-nature-siero-4021457650231,,"Apply the product in the morning to cleansed face, neck, and décolleté, massaging gently with circular motions."
Glow by Nature Crema da giorno,Lavera,moisturizer,unisex,young;mature,midRange,core,morning,normal;dry;combination,dehydration;dullness,cream,false,false,Vitamin_C:Brightening;Coenzyme_Q10:Antioxidant,17.89,https://www.lavera.it/glow-by-nature-crema-da-giorno-4021457650873,,Use as daily moisturizer in the morning.
Cream Contorno Occhi Rassodante,Lavera,eyeCream,unisex,mature,midRange,special,morning;night,sensitive;dry;normal,fine_lines;wrinkles,cream,false,false,hyaluronic_acid:Hydration;bakuchiol:Anti-aging,21.99,https://www.lavera.it/cream-contorno-occhi-rassodante-4021457649259,,Apply firming eye cream morning and night.
Maschera Rassodante,Lavera,faceMask,unisex,mature,midRange,treatment,morning;night,sensitive;dry;normal,fine_lines;wrinkles,mask,false,false,hyaluronic_acid:Hydration;bakuchiol:Anti-aging,7.69,https://www.lavera.it/maschera-rassodante-data-di-scadenza-01.11.2025-4021457649310,,Use firming mask weekly for lifting effect.
PURE BEAUTY Fluido Anti-Imperfezioni,Lavera,spotTreatment,unisex,young,midRange,treatment,morning;night,combination;oily,acne;oiliness,gel,false,false,mint:Refreshing;salicylic_acid:Exfoliating,8.67,https://www.lavera.it/pure-beauty-fluido-anti-imperfezioni-data-di-scadenza-01.01.2026-4021457639571,,Apply anti-imperfection fluid to clean skin.
Re-Energizing Sleeping Cream,Lavera,sleepingMask,unisex,young;mature,midRange,hydration,night,normal;dry;mature,dehydration;dullness,cream,false,false,Vitamin_E:Antioxidant;Organic_grapes:Hydration,16.49,https://www.lavera.it/re-energizing-sleeping-cream-4021457658282,,Apply before bed to revitalise skin overnight.
Straffende Hyaluron-Maske,Lavera,hydratingMask,unisex,young;mature,midRange,treatment,morning;night,normal;dry;combination,dehydration,mask,false,false,hyaluronic_acid:Hydration,0,https://www.lavera.it/straffende-hyaluron-maske,,Use hyaluron mask once or twice weekly.
basis sensitiv Crema notte lenitiva,Lavera,soothingCream,unisex,young;mature,midRange,special,morning;night,sensitive;dry;normal,redness;dehydration,cream,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitiv-crema-notte-lenitiva,,Apply at night for soothing hydration.
Fluido anti-UV SPF 30,Lavera,sunscreen,unisex,young;mature,midRange,core,morning,oily;combination;dry;normal;sensitive;mature,sun_damage,lotion,false,false,zinc_oxide_or_filters:Sun Protection,0,https://www.lavera.it/fluido-anti-uv-spf-30,,Apply broad-spectrum SPF 30 fluid daily.
Hydro Refresh Roll-On Contorno Occhi,Lavera,eyeCream,unisex,young;mature,midRange,special,morning;night,normal;combination;dry,puffiness;dehydration,gel,false,false,hyaluronic_acid:Hydration;aloe_vera:Soothing,0,https://www.lavera.it/hydro-refresh-roll-on-contorno-occhi,,Roll around eye area morning and evening.
basis sensitiv Crema idratante,Lavera,moisturizer,unisex,young,midRange,core,morning;night,sensitive;dry;normal,dehydration,cream,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitiv-crema-idratante,,Use daily for moisture.
PURE BEAUTY Gel Anti-Imperfezioni,Lavera,spotTreatment,unisex,young,midRange,treatment,morning;night,combination;oily,acne,gel,false,false,mint:Refreshing;salicylic_acid:Exfoliating,0,https://www.lavera.it/pure-beauty-gel-anti-imperfezioni,,Apply directly on pimples.
Hydro Refresh Siero,Lavera,serum,unisex,young;mature,midRange,hydration,morning;night,normal;combination;dry,dehydration,gel,false,false,hyaluronic_acid:Hydration;aloe_vera:Soothing,0,https://www.lavera.it/hydro-refresh-siero,,Apply hydrating serum before moisturizer.
