name,brand,type,gender,age,budget,category,use_time,skin_types,skin_concerns,texture,fragrance_free,alcohol_free,ingredients,price,purchase_link,image_url,instructions
Glow by Nature Siero,Lavera,serum,unisex,all,midRange,treatment,morning;night,all,dullness;fine_lines,liquid,FALSE,FALSE,Vitamin_C:Brightening;Q10:Firming,19.99,https://www.lavera.it/glow-by-nature-siero-4021457650231,,Apply a few drops to face before moisturizer.
Glow by Nature Crema da giorno,Lavera,faceCream,unisex,all,midRange,core,morning,all,dullness;fine_lines,cream,FALSE,FALSE,Vitamin_C:Brightening;Q10:Antioxidant,19.99,https://www.lavera.it/glow-by-nature-crema-da-giorno-4021457650873,,Apply each morning to face after cleansing.
Cream Contorno Occhi Rassodante,Lavera,eyeCream,unisex,mature,midRange,special,morning;night,sensitive;dry;normal,fine_lines;wrinkles,cream,FALSE,FALSE,hyaluronic_acid:Hydration;bakuchiol:Anti-aging,21.99,https://www.lavera.it/cream-contorno-occhi-rassodante-4021457649259,,Apply firming eye cream morning and night.
Maschera Rassodante,Lavera,faceMask,unisex,mature,midRange,treatment,morning;night,sensitive;dry;normal,fine_lines;wrinkles,mask,FALSE,FALSE,hyaluronic_acid:Hydration;bakuchiol:Anti-aging,7.69,https://www.lavera.it/maschera-rassodante-data-di-scadenza-01.11.2025-4021457649310,,Use firming mask weekly for lifting effect.
PURE BEAUTY Fluido Anti-Imperfezioni,Lavera,spotTreatment,unisex,young,midRange,treatment,morning;night,combination;oily,acne;oiliness,gel,FALSE,FALSE,mint:Refreshing;salicylic_acid:Exfoliating,8.67,https://www.lavera.it/pure-beauty-fluido-anti-imperfezioni-data-di-scadenza-01.01.2026-4021457639571,,Apply anti-imperfection fluid to clean skin.
Re-Energizing Sleeping Cream,Lavera,faceCream,unisex,mature,midRange,treatment,night,all,dullness;fine_lines,cream,FALSE,FALSE,Organic_grape:Antioxidant;Vitamin_E:Renewing,17.79,https://www.lavera.it/re-energizing-sleeping-cream-4021457658282,,Use as a night cream to revitalize skin overnight.
Straffende Hyaluron-Maske,Lavera,hydratingMask,unisex,young;mature,midRange,treatment,morning;night,normal;dry;combination,dehydration,mask,FALSE,FALSE,hyaluronic_acid:Hydration,7.69,https://www.lavera.it/maschera-rassodante-data-di-scadenza-01.11.2025-4021457649310,,Use hyaluron mask once or twice weekly.
basis sensitiv Crema notte lenitiva,Lavera,soothingCream,unisex,young;mature,midRange,special,morning;night,sensitive;dry;normal,redness;dehydration,cream,FALSE,FALSE,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,13.1,https://www.lavera.it/basis-sensitiv-crema-notte-idratante-lenitiva-4021457652495,,Apply at night for soothing hydration.
Fluido anti-UV SPF 30,Lavera,sunscreen,unisex,all,midRange,core,morning,all,sun_damage,fluid,FALSE,FALSE,Organic_aloevera:Hydrating;Mineral_UV_filters:Protecting,13.94,https://www.lavera.it/fluido-anti-uv-spf-30,,Use every morning as last skincare step for daily UV protection.
Hydro Refresh Roll-On Contorno Occhi,Lavera,eyeGel,unisex,all,midRange,special,morning;night,all,puffiness;dark_circles,gel,FALSE,FALSE,Organic_cucumber:De-puffing;Hyaluronic_acid:Hydrating,12.99,https://www.lavera.it/hydro-refresh-roll-on-contorno-occhi,,Roll under the eye area twice daily to refresh and hydrate.
