name,brand,type,gender,age,budget,category,use_time,skin_types,skin_concerns,texture,fragrance_free,alcohol_free,ingredients,price,purchase_link,image_url,instructions
basis sensitiv Maschera Antirughe Q10,Lavera,faceMask,unisex,mature,midRange,treatment,morning;night,sensitive;dry;normal,fine_lines;dryness,mask,FALSE,FALSE,Aleo_vera_bio:Soothing;Coenzima_Q10:Anti-aging,2.65,https://www.lavera.it/basis-sensitiv-maschera-antirughe-q10-4021457638512,,Apply to face weekly for anti-aging benefits.
Maschera in tessuto rassodante,Lavera,sheetMask,unisex,mature,midRange,treatment,morning;night,mature;dry;normal,fine_lines;wrinkles,mask,FALSE,FALSE,Karanja_oil:Nourishing;Natural_hyaluronic_acid:Hydrating,5.66,https://www.lavera.it/maschera-in-tessuto-rassodante-4021457632053,,Apply sheet mask to face and leave for 15 minutes.
Maschera in tessuto illuminante,Lavera,sheetMask,unisex,all,midRange,treatment,morning;night,normal;dry;combination,dullness,mask,FALSE,FALSE,Organic_dragon_fruit:Antioxidant;Organic_raspberry:Brightening,5.66,https://www.lavera.it/maschera-in-tessuto-illuminante-4021457632046,,Apply sheet mask for natural glow in just 15 minutes.
Maschera in tessuto purificante,Lavera,sheetMask,unisex,young,midRange,treatment,morning;night,combination;oily,acne;oiliness,mask,FALSE,FALSE,organic_mint:Refreshing;natural_salicylic_acid:Exfoliating,5.66,https://www.lavera.it/maschera-in-tessuto-purificante-4021457632039,,Apply purifying sheet mask weekly.
basis sensitive balsamo per le labbra,Lavera,lipBalm,unisex,all,midRange,optional,morning;night,sensitive;dry;normal,dryness,balm,FALSE,FALSE,Organic_almond:Nourishing;jojoba:Moisturizing,1.79,https://www.lavera.it/basis-sensitive-balsamo-per-le-labbra-4021457655984,,Apply to lips several times a day as needed.
Repair balsamo per le labbra,Lavera,lipBalm,unisex,all,midRange,optional,morning;night,dry;normal,chapped_lips,balm,FALSE,FALSE,Organic_pomegranate:Regenerating;Brazil_nut_oil:Repairing,2.49,https://www.lavera.it/repair-balsamo-per-le-labbra-4021457656004,,"Apply to dry, cracked lips for intensive repair."
Crema da Giorno Rassodante,Lavera,faceCream,unisex,mature,midRange,core,morning,dry;mature,fine_lines;wrinkles,cream,FALSE,FALSE,Triple_hyaluronic_acid:Hydrating;Bakuchiol:Firming,16.99,https://www.lavera.it/crema-da-giorno-rassodante-4021457649198,,Apply every morning to cleansed face.
PURE BEAUTY Detergente Peeling Maschera 3in1,Lavera,cleanser,unisex,young,midRange,core,morning;night,combination;oily,acne;pores,cream,FALSE,FALSE,Organic_mint:Purifying;Natural_salicylic_acid:Exfoliating,7.49,https://www.lavera.it/pure-beauty-detergente-peeling-maschera-3in1-4021457639601,,Use as daily cleanser or weekly scrub/mask as needed.
Lozione Solare Sensitive SPF 30,Lavera,sunscreen,unisex,all,midRange,core,morning,all,sun_damage;dryness,lotion,TRUE,TRUE,Organic_shea_butter:Protective;Vitamin_E:Antioxidant,13.49,https://www.lavera.it/lozione-solare-sensitive-spf-30-4021457657049,,Apply generously before sun exposure and reapply regularly.
MY AGE Trattamento giorno rassodante,Lavera,moisturizer,unisex,mature,midRange,core,morning,mature;dry;normal,fine_lines;wrinkles,cream,FALSE,FALSE,Organic_hibiscus:Antioxidant;Plant_ceramide:Barrier Support,16.79,https://www.lavera.it/my-age-trattamento-giorno-rassodante-data-di-scadenza-01.12.2025-4021457635511,,Apply to cleansed face each morning.
